Module Name,Associated Masters,Purpose,Associated Reports
10. VIR (Vehicle Inspection Response),included in sr. no. 9,"Capture technician work start/end, findings, part/labour additions.",Vehicle Inspection Report
11. Vehicle Inspection (Check List),"Inspection Group
Inspection Checkpoint
Category Template
Inspection Result - OK/Good/Excellent/Average/Poor/Critical/Not OK/Faulty/Repair/Replace/Not Checked, NA (Not Applicable)
Inspection Status - Pending, In Progress, Completed, Approved, Rejected
Observation - Standard comments for faster entry - Brake pads worn out/Oil leakage/Minor scratch
Recommendation - No Action Required, Repair, Replace, Monitor, Urgent Attention
Inspection Frequency - Every Service, Every 5,000 km, Every 10,000 km","Digital checklists (PMS, Tyre, Bodyshop, etc.), image capture and tech findings.",Digital Inspection Report
12. OLI (Outside Labour Inquiry) Entry,"Inquiry Type - Denting, Painting, Upholstery, Repowring, Alloy/Rim Refurbish, Electrical Repair, Accessories Installation, Lathe Work
Department
Employee
Job Card Reference
Customer
Customer Vehicle
Vendor/Service Contractor
Labour Service/Job Description/Customer Complaints
Phot Evidence - Before Work, After Work (Item wise)
Additional Phot Evidence - Front View, Rear View, Left Side, Right Side, Damage Photo, Fault Evidence
HSN & Tax Rate
Priority - Normal, High, Urgent
Communication Mode - WhatsApp, Email, Phone Call
Turnaround Time (TAT) - 1 Day, 2 Days, 3 Days, Custom TAT
Promised Date - From Date/Time, To Date/Time
Revision Reason - Price Revision, Scope Change, Additional Damage,
Rejection Reason - High Cost/Delay in Delivery/Poor Quality History/Service Provider Not Available…
Inquiry Status - Response Pending, Partially Responded, Fully Responded, Work Order Issued, Rejected by contractor/vendor, Cancelled
Auto Reminder Frequency - Daily, Every 2 Days, Custom
Follow-up Mode - Telephonic Call, SMS, WhatsApp, Email, Physical Visit
Attachment Type - PDF/Image
Notification Template - Inquiry Sent, Response Received, Approved
Dashboard - Open Inquiries, Pending Responses, Completed Inquiries, Cancelled Inquiries
","Inquire contractor/vendor for charge, available date/time for outside work.",Outside Labour Status Report
13. OLR (Outside Labour  Response),included in sr. no. 12,Track vendor response for outside work inquiry including charges and ETA.,Outside Labour Status Report
14. IPI (Internal Parts Inquiry) Entry,"Job Card Reference
Department
Employee
Customer
Customer Vehicle - Brand, Model, Variant, Transmission Type, Fuel Type,
Supplier / Vendor
Spares
Inventory Type - Genuine, Aftermarket
Vehicle - Brand, Model, Variant, Transmission Type, Fuel Type,
Spare Brand
Unit of Measure (UOM)
HSN & Tax Rate
Phot Evidence - Before Work, After Work (Item wise)
Priority Order - Normal, High, Urgent
Stock Status - Available, Not Available, Reserved, Issued, Ordered, In Transit, Backorder
Inquiry Type - Against Job Card, Stock Replenishment, Special Order, Emergency Requirement
Inquiry Status - Pending, In Progress, Partially Available, Fully Available, Not Available, Alternative Suggested, Completed, Ordered, Cancelled
Alternative Option - Primary Part, Alternate Part, Alternate brand
Approval Authority - Service Advisor, Store Manager, Workshop Manager, Owner/Admin,
Rejection Reason - Not in Stock, Obsolete Part, Wrong Part Requested, Budget Issue
Turnaround Time (TAT) - Immediate, Same Day, Next Day, 2–3 Days, Custom
Additional Phot Evidence - Damage Photo, Fault Evidence
","Advisor asks store for part rate, availability, brand.",IPI Report
15. IPR (Internal Parts Response),same as above,"Store replies to advisor with part rate/availability, reserves stock.",IPI Report
16. Inventory search,"Vehicle Brand
Vehicle Model
Vehicle Variant
Part Type - Genuine, After Market
Inventory Group
Inventory Sub Group
parts Brand
UOM
Rack
Vendor
","Check part availability, compatibility, TecDoc integration, alternatives.",Stock Statement
17. VPI (Vendor Purchase Inquiry) Entry,"Inquiry Type - Against Card Requirement, Stock Replenishment, Special Order, Emergency Requirement
Supplier / Vendor
Priority Order - Normal, High, Urgent
Inventory Type - Genuine, Aftermarket
Spares
Vehicle - Brand, Model, Variant, Transmission Type, Fuel Type,
Spare Brand
Unit of Measure (UOM)
HSN & Tax Rate
Phot Evidence - Before Work, After Work (Item wise)
Additional Phot Evidence - Damage Photo, Fault Evidence
Stock Status - Partially Available, Fully Available, Not Available
Alternative Option - Primary Part, Alternate Part, Alternate brand
Turnaround Time (TAT) - Immediate, Same Day, Next Day, 2–3 Days, Custom
Payment Terms - Advance, Cash on Delivery, 7 Days Credit, 15 Days Credit, 30 Days Credit
Comparison Parameter - Price, Discount, Lead Time, Delivery on time
Approval Authority - Advisor, Store Manager, Workshop Manager, Owner/Admin
Attachment Type - RFQ Document, Vendor Quotation, Approval Note
Revision Reason - Price list update, Quantity Change, Specification Change, Discount Update
Discount Types - Line Discount, Scheme Discount (Package/Combo Offers), Cash Discount
Additional Charges - Freight/P&F, Transport Charges, Packing Charges, Handling Charges etc
Vendor Category - Preferred Vendor, Approved Vendor, Backup Vendor etc
SLA (Service Level Agreement) - Delivery commitments, Penalty rules
Inquiry Status - Pending, In Progress, Completed, Cancelled
","Store asks vendor for part rate, brand, delivery time, Request for Quotation (RFQ). Request vendor quotes with tracking and notifications.",Purchase Report
18. VPR (Vendor Parts Response),same as above,"Vendor replies with price, availability, ETA, brand.",Purchase Report
19. Sales Estimate (Regular/Insurance),"Estimate Type - Before/After/Additonal/Warranty
Damage Type - Accident Damage/Wear & Tear/Electrical Failure/Mechanical Failure
Parts Category - Genuine/After Market/Any
Department
Service Type
Employee - Advisor/Techncian
Job Card Reference
Insurance Company
Customer
Customer Vehicle
Inventory & Price List - Spares/Labours
Estiamte Template Reference
Old Estimate Reference
Inventory Group
HSN & Tax Rate
Estimate Status - Pending, Prepared, Sent to Customer, Sent to Insurance, Under Approval, Approved, Partially Approved, Rejected, Revised, Converted to Job / Invoice
Discount Type - Percentage /Flat/on MRP/On RCP(dealer price)
Estimate Revision Reason - Additional Damage Found, Customer Request, Insurance Query, Parts Price Change
Labour Price List - Retail Price, Insurance Approved Rate, Special Customer Price, Bulk Price
Service Package - Periodic Service Package, Accident Repair Package, Combo Offers
","Create estimate, calculate insurance pass %, use group-wise templates.","Sales Estimate Report, Estimate Analysis"
20. Claim Intimation,"Job Card Reference
Customer
Customer Vehicle
Department
Employee
Insurance Policy
Insurance Company
Insurance Claim Type - Cashless, Reimbursement,
Damage Type - Accident Claim, Fire Damage
Claim Intimation Mode - Email, Insurance Portal, API Integration, Phone Call, Mobile App
Claim Intimation Status - Pending, Intimated, Cancelled
Intimation Pending Reason - Policy Expired, Delay in Intimation
TAT (Turnaround Time) - Survey within 24 hrs, Survey within 48 hrs, Survey within 72 hrs
","Register accidental claim, policy details, notify surveyor.",Survey Report
21. Surveyor Inspection,"Job Card Reference
Estimate Reference
Customer
Customer Vehicle
Surveyor / Assessor
Insurance Company
Survey Type - Preliminary Survey, Re-inspection, Final Survey, Spot Survey, Supplementary Survey
Inventory Spares/Labour
Surveyor Approval - Repair Approved, Replace Approved, Not Approved, Partially Approved, Total Loss Approved
Not Covered Reason - Old Damage, Damage Mismatch, Not Covered in Policy,
No Claim Reason / Rejection Reason - Document Missing, Policy Expired, Policy Not Valid, Fraud Suspected, Insufficient Evidence
Surveyor Inspection Status - Pending, In Progress, Completed, Cancelled
Attachment Type - Approval Note
","Record surveyor findings, reinspection, link with insurance estimate.",Surveyor Inspection Report
22. Document Delivery,"Job Card Reference
Insurance Company - State, City, Area
Customer
Customer Vehicle
Employee - Advisor (created by)/Driver (doc delivered by)
Recipient - Owner Selft, On the Behalf of Owner
Transport/Courier Company
Document Checklist - RC Book, Insurance Policy, Driving License, Aadhar, PAN, PUC
Delivery Mode - Hand to Hand, Porter, Courier
Acknowledgement Type - Physical Signature, Digital Signature, OTP Verification, Email Confirmation
Delivery Status - Pending, Delivered, In Transit, Returned, Re-sent
Delivery Failure Reason - Wrong Address, Door locked,
Missing Document Reason - Document Lost, Document Damaged
Follow-up Mode - Telephonic Call, SMS, WhatsApp, Email, Physical Visit
Auto Reminder Frequency - Daily, Every 2 Days, Custom
","Track document movement (customer/insurer/workshop), signature confirmation.",Document Collection Report
23. Sales Estimate Approval,"Job Card Reference
Estimate Reference
Surveyor / Assessor
Insurance Company
Customer
Customer Vehicle
Department
Service Type
Employee - Advisor
Estimate Approval Type - Regular, Supplementary, Additional, Revised
Approval Authorisation - Insurance Approval, Customer Approval, Ins. & Customer both Approval, Internal Approval, Management Approval
Approval Mode - WhatsApp Approval, Email Approval, Physical Signature
Parts Brand - Genuine/After Market/Any
Inventory - Spares/Labours/Service Package
Inventory Group - PMS, Suspension, Brake
HSN & Tax Rate
Line Item Approval - Spares/Labour - Repair, Replace, Remove & Refit, Approved, Rejected, Approval Pending
Rejection Reason - Customer/Surveyor - (a) High Cost, Customer Budget Issue, Insurance Not Covered, No Claim (b) Additional Damage, Non-Accident Damage, Policy Limitation
Depreciation Type - Part Category & Vehicle Age Slab - Plastic, Metal, Rubber, Glass
Auto Reminder Frequency - Daily, Every 2 Days, Custom
Follow-up Mode - Telephonic Call, SMS, WhatsApp, Email
Approval Status - Sent for Approval, Partially Approved, Fully Approved, Query Raised, Revised & Resent, No Response, Rejected, Cancelled
Dashboard KPI - Pending Customer Approvals, Pending Insurance Approvals, Today Approved, Custom Date Approved
",Customer/Advisor digital approval of estimate.,Estimate Analysis Report
24. Jobcard Cancel Approval,"Job Card Reference
Department
Job Type
Employee
Job Card Cancellation Type - Wrong Entry, Customer Rejection, Insurance Rejection, Duplicate Job Card, Internal Error, Operational Issue,
Job Card Cancellation Reason - High Estimate Cost, Delay in Service, Customer Not Interested, Insurance Not Approved, Duplicate Entry, Wrong Vehicle Entry
Approval Hierarchy - Level 1 – Service Advisor, Level 2 – Store Manager, Level 3 –  Accounts Manager, Level 4 – Workshop Manager or Owner/Admin
Cancellation Status - Pending, Requested, Under Review, Approved, Rejected, Cancelled, Reversed (If reopened)
Cancellation Impact - Return Part to Vendor, Reverse Parts in stock, Issue Part in Consumption, Return Labour & Claim Warranty, Refund Payment, Payment Adjustment Against Next Job
Approval Rejection Reason - Insufficient Reason, Financial Impact Too High, Work Already Completed, Management Decision
Refund Status - Pending, Processed, Completed
Follow-up Mode - Telephonic Call, SMS, WhatsApp, Email
",Admin approval workflow for job card cancellation.,Job Card Cancel Report
25. Customer Advance Receipt Request/Response,"Job Card Reference
Estimate Reference
Customer
Customer Vehicle
Department
Service Type
Employee - Advisor/Cashier
Advance Purpose - Odd Item Purchase Order, Urgent Purchase Order, Regular Parts Purchase, Outside Labour Booking
Advance Amount Type - Specific Percentage of Estimate, Minimum Amt, Max Amt, Custom Amount
Payment Status - Requested, Partially Paid, Fully Paid, Cancelled, Failed, Rejected, Refunded
Auto Reminder Scheduling - daily at 10:00 AM, Afternoon @ at 02:00 PM, Evening @ 04:00 PM, Custom
Follow-up Mode - Telephonic Call, SMS, WhatsApp, Email
Rejection Reason - Customer Not Interested, Budget Issue, Delay in service estimate, Insurance Coverage Limitation
Document Attachment - PDF, Image
",Request advance payment from customer via link.,Advance Receipt Report
26. Advance Receipt Entry,"Receipt No. Series - MQ/RR/26-27/0708
Job Card Reference
Estimate Amt Reference
Insurance Company
Customer
Customer Vehicle
Department
Service Type
Employee - Advisor/Cashier
Payment Mode - Cash, Cheque, NEFT, RTGS, IMPS, UPI (PayU, PhonePe, Paytm, GPay, Bhim), Credit Card, Debit Card, Razorpay,
Bank
Payment Status - Partially Received, Fully Received, Cancelled, Failed, Refunded
Cheque Status - Received, Deposited, Cleared, Returned, Cancelled
Cheque Bounce Reason - Insufficient Funds, Signature Mismatch, Stale Cheque, Account Closed
Receipt Cancellation Reason - Cheque Return, Duplicate Entry, Wrong Customer, Wrong Amount, Payment Failed
Receipt Difference Reason - Short Payment, Bank Charges Deducted, Settlement Difference, Excess Payment
Attachment Type - Cheque Copy, UTR Screenshot, Deposit Slip, Payment Advice
",Cashier manually records advance payment.,Receipt Report
27. FWO (Final Work Order) Entry,"Job Card Reference
Department
Service Type
Employee - Advisor, Technician
Bay
Csutomer Complaint/Job Description/Service Package/Combo Package/AMC Package - PMS, Fr side Noise, Rear Side Noise
Work Priority - Normal, High, Urgent
Inspection Template Reference - PMS, Tyre, Bodyshop…
Time Tracking - Assigned Time, Accepted Time, Start Time, End Time (Pause Time, Resume Time)
Inspection Photo / Phot Evidence - Before Work, After Work (Item wise)
Inspection Result - IA (Immediate Action), FA (Future Action), OK
Additional Findings - Spares/Labour
Pause / Hold Reason - Waiting for Parts, Waiting for Advisor, Waiting for Customer Approval, Technician Not Available, External Work Pending, Lunch Break, Tea Break, System Hold
Rework Reason - Parts Poor Quality, Labour Poor Quality, Incomplete Work, Missed Task, Customer Complaint, Supervisor Instruction/Feedback
Delay Reason - Tool Not Available, Electric Power Not Available, Additional Diagnosis Required
Work Completion Type - Fully Completed, Partially Completed, Deferred
Additional Findings Photo / Phot Evidence - Front View, Rear View, Left Side, Right Side, Damage Photo, Fault Evidence
Final Work Order Status - Assignment pending, Assigned, Work In Progress, Work On Hold, Completed, Cancelled…
Dashboard - Pending Inspections, Active Inspections, Completed Inspections, Cancelled Inspections
","Official job start time after estimate approval, tech assignment.",Work Order Analysis
28. FWR (Final Work Response),same as above,"Capture tech working time, item-wise hours, pause time, net TAT.",Technician Report
29. OWO (Outside Work order) Entry,"Job Card Reference (no customer details)
Outside Labour Inquiry Reference
Customer Vehicle (only reg. no. & vehicle)
Order Type - Denting, Painting, Upholstery, Repowring, Alloy/Rim Refurbish, Electrical Repair, Accessories Installation (PPF), Lathe Work
Vendor/Service Contractor
Department
Service Type
Employee
Bay (requried for service contractor like denting/painting/washing & not applicable for outside vendor)
Work Instruction/Job Description/Customer Complaints/Service Package/Combo Package/AMC Package - Spares/Labour
Sequence Ordering
Priority - Normal, High, Urgent
Work Completion Type - Fully Completed, Partially Completed, Deferred
Inspection Template Reference - VA, Bodyshop etc
Time Tracking - Assigned Time, Accepted Time, Start Time, End Time (Pause Time, Resume Time)
Pause / Hold Reason - Waiting for Parts, Waiting for Advisor confirmation, Waiting for Customer Approval, Technician Not Available, Lunch Break, Tea Break, System Hold - Applicable for PPF vendor etc
Rework Reason - Parts Poor Quality, Labour Poor Quality, Incomplete Work, Missed Task, Customer Complaint, Supervisor Instruction/Feedback
Delay Reason - Tool Not Available, Electric Power Not Available, Additional Diagnosis Required
Additional Findings - Spares/Labour
Phot Evidence - Before Work, After Work (Item wise)
Additional Phot Evidence - Front View, Rear View, Left Side, Right Side, Damage Photo, Fault Evidence, Other
Outside Work Order Status - Assignment Pending, Assigned, Work In Progress, On Hold, Completed, Cancelled
Communication Mode - WhatsApp, Email, Phone Call
Follow-up Mode - Telephonic Call, SMS, WhatsApp, Email, Physical Visit
Dashboard - Pending, Work in Progress, Work on Hold, Completed, Cancelled
",Finalize vendor order for outside work and track service start.,Outside Labour Status Report
30. OWR ((Outside Work Response),same as above,"Track outside work progress, completion, and total hours consumed.",Outside Labour Status Report
31. IPO (Internal Part Order) Entry,"Job Card / Estimate Reference
Department
Service Type
Customer
Customer Vehicle
Employee - Advisor/Technician/Store in charge
IPO Type - Job Card Requirement, Reserved Parts Order, Testing & Observation, Workshop General Use
Order Priority - Normal, Urgent, Breakdown, Critical
IPO Status - Draft, Requested, Approved, Processing, Partially Issued, Fully Issued, Cancelled, Closed
Cancellation Reason - Parts Not Available/Wrong Fitment/No resolution
Approval Authority - Store Manager, Service Advisor, Workshop Manager/Owner/Admin
Approval Status - Pending, Approved, Rejected
Rejection Reason - Wrong Part, Approval Denied, Duplicate Request
Issue Status - Pending, Issued, Partially Issued, Returned, Backorder
Inventory/Spares Master
Spares Brand - Genuine/Aftermarket/…
Stock Status - Available, Reserved, Issued, Out of Stock, In Transit
Alternative Parts - Primary Part, Alternate Part,
UOM (Unit of Measure)
Return Type - Damaged Return, Wrong Issue Return, Excess Return
Return Status - Pending, Accepted, Rejected
Inventory Photo / Phot Evidence - Before, After (Item wise), Additional
File Attachment - PDF/Image
",Advisor/FI requests parts from store for a specific job or without job card,IPO Report
32. IPR (Internal Part Response),same as above,"Store picks, issues, and hands over parts to technician.",IPO Report
33. IPO cancel request/Response,"Job Card Reference
IPO Reference
Customer
Customer Vehicle
Department
Service Type
Employee - Advisor/Store in charge/Technician
Cancellation Reason - Excess Qty, Wrong Part Number Order, Wrong Part Number Supplied, Duplicate Order, Customer Budget Issue, Part No Longer Required, Customer Refused, Alternative Part Used
Cancellation Impact - Return Part to Vendor, Reverse Parts in stock, Issue Part in Consumption & adjust stock, Cancel Purchase Order, Refund Payment, Payment Adjustment Against Next Job
Inventory/Spares Master
UOM (Unit of Measure)
Issue Status - Pending, Issued, Partially Issued, Returned, Backorder
Inventory Photo / Phot Evidence - Before, After (Item wise), Additional
Cancellation Category - Operational Error, Customer Driven
Return Status - Pending, Returned, Rejected
Return Type - Used in Vehicle, Not used in Vehicle, Full Return, Partial Return, Damaged Return
Rejection Reason - Invalid Reason, Used Part, Damaged Part, Wrong Part No., Job In Progress, Financial Impact Too High, In Transit
IPO Cancel Status - Under Review @ Vendor, Approved, Rejected, Cancelled, Reversed, Needs Verbal Clarification
Approval Hierarchy - Service Advisor, Store Manager, Workshop Manager / Admin / Owner
Document Attachment - PDF/Image -
",Advisor requests to cancel specific un-issued parts.,IPO Report
35. VPO (Vendor Purchase Order) Approval/Response,"PO Approval Type - Stock Bulk Purchase, Odd Item Purchase, High Value Purchase, Rate Contract Purchase, Note: Job Card Purchase, Emergency Purchase
Job Card Reference (required for Odd item/high value purchase)
Customer (required for Odd item/high value purchase)
Customer Vehicle (required for Odd item/high value purchase)
Employee - Store In Charge
VPI(Vendor Purchase Inquiry)/RFQ (Request for Quotation) Reference
Vendor / Supplier
Inventory Type - Genuine, Aftermarket
Approval Priority - Normal, High, Urgent
Spares
Vehicle - Brand, Model, Variant, Transmission Type, Fuel Type,
Spare Brand
Unit of Measure (UOM)
HSN & Tax Rate
VPI Photo Reference
Line Item Approval - Part Approved (Yes/No), Quantity Approved, Discount Approved, Rate Approved (Last Purchase Price, Last Purchase Vendor, Last Purchase Date), TAT Approval
Approval Hierarchy - Level 1 – Store Manager, Level 2 – Accounts Manager, Level 3 – Owner / Admin. Level 3 optional
Approval Mode - System Approval, Email Approval, WhatsApp Approval, Verbal Approval, Phone Call Approval
Payment Terms - Advance, Cash on Delivery, 7 Days, 15 Days, 30 Days
Additional Charges - Freight/P&F, Transport Charges, Packing Charges, Handling Charges etc
Vendor Category - Preferred Vendor, Approved Vendor, Backup Vendor etc
PO Approval Status - Sent for Approval, Partially Approved, Fully Approved, Under Review, Rejected, Re-approved (after revision)
Rejection Reason - High Price, Wrong Vendor, Budget Exceeded, Duplicate PO, Quantity Exceeded
Attachment Type - Vendor Quotation, Quote Comparison Sheet, Approval Notes
","Admin approval for Vendor Purchase Order - Stock Bulk Purchase (Amt > 25,000), Odd Item Purchase, High Value Purchase,",Purchase Report
36. Vendor Advance Payment Request/Response,"Job Card Reference
Customer
Customer Vehicle
Department
Service Type
Employee - Advisor, Store In Charge
Vendor
Parts Category - Genuine/After Market
VPI(Vendor Purchase Inquiry)/RFQ (Request for Quotation) Reference
VPO (Vendor Purchase Order) Approval Reference
Advance Payment Reason - Vendor Requires Advance, Imported Material, Custom Manufacturing, Emergency Requirement, First-Time Vendor, Odd Item Purchase Order
Priority - Normal, High, Urgent
Payment Mode - Cash, Bank Transfer, NEFT, RTGS, IMPS, UPI, Cheque
Bank
Document Checklist - Quote / Proforma Invoice, Approval Note (Admin/Owner), Vendor Bank Details
Vendor Category - Preferred Vendor, Approved Vendor, Backup Vendor etc
Advance Request Status - Requested, In Progress,  Partially Paid, Fully Paid, Failed, On Hold, Rejected, Canceclled
Hold Reason - Insufficient Documents, Budget Exceeded, Vendor Verification Pending
Rejection Reason - High Price, Wrong Vendor, Budget Issue, Duplicate Advance Request, Quantity Exceeded, Vendor Not Supportive
Auto Reminder Frequency - Daily, Every 2 Days, Custom
Follow-up Mode - Telephonic Call, SMS, WhatsApp, Email, Physical Visit
Attachment Type - Cheque Copy, UTR Screenshot, Deposit Slip, Payment Advice
Dashboard - Pending, Paid, Rejected
",Request advances to vendors for special orders (Admin approval).,Payment Report
37. Advance Payment Entry,"Vendor Master, Payment Mode Master",Admin/Accountant records the advance payment made to vendor.,Payment Report
38. VPO (Vendor Purchase Order),"Vendor Master, Spares Master",Store creates purchase order for required spare parts.,Purchase Order (MSQ) Report
39. VPO (Vendor Purchase Order) Cancel Request,Vendor Master,Cancel vendor order to avoid excess stock.,Purchase Report
40. VPR (Vendor Purchase Response),Vendor Master,Vendor confirms order and provides dispatch/courier details.,Purchase Report
41. Outside Labour Bill Receive & Verification,"Vendor Master, Labour Master",Receive physical invoice for outside work and verify via SMS link.,Outside Labour Status Report
